
media_id	user_id	comment_text	comment_type	comment_created_at	comment_like_count
2551856921623855106_6323132732	5653049971	👏👏👏👏	0	1618434226	0
2551856921623855106_6323132732	8004212870	😍😍😍😍	0	1618463343	0
2550773232809730389_6323132732	21717688850	🙌🤲🤲🤲	0	1618300081	0
2550750258283139041_6323132732	44136745886	Брат, будь на виду с высоты !!! Будь счастлив!!!	0	1618314233	0
2550428231701540075_6323132732	7159856619	👏	0	1618254886	0
2550428231701540075_6323132732	1910344281	@nogaev_adilet 👏👏👏👏 Жарайсин!	0	1618272717	1
2550428231701540075_6323132732	1385343598	@mirzhaqyp 👍😉	2	1618274542	0
2550428231701540075_6323132732	10899096754	Это те, что я чищу свиньям.	0	1618390069	0
2550227268201948037_6323132732	4564094298	👏👏👏	0	1618289080	0
2548050587357896136_6323132732	8477817199	Я ждал этого дня🔥	0	1617973120	1
2548050587357896136_6323132732	8188327084	Могу ли я быть в сети или офлайн?	0	1617973673	0
2548050587357896136_6323132732	3691093759	@_tolegenov_nurasyl офлайн	2	1617989209	0
2548050587357896136_6323132732	7085837252	@ansarisinov 👏👏👏	2	1618078513	0
2548050587357896136_6323132732	45500423470	@ gulimai1977 Если у вас есть телеграм-канал, отправьте его	2	1618335925	0
2548050587357896136_6323132732	3691093759	@YessenovUniversity	2	1618338760	0
2548050587357896136_6323132732	3691093759	@ orynbasar052002 t.me/YessenovUniversity	2	1618338931	0
2545261251018272517_6323132732	47073751991	👏👏👏👏👏👏👏	0	1617659626	0
2543721191206591345_6323132732	6000565956	😍😍👏	0	1617457727	0
2543721191206591345_6323132732	465124859	@sartaevaaa жанмм❤️	0	1617458349	0
2543721191206591345_6323132732	44078077128	@sartaevaaa 🔥🔥🔥👏	0	1617459217	0
2543721191206591345_6323132732	6653399066	@sartaevaaa 😍😍😍🔥❤️	0	1617459221	0
2543721191206591345_6323132732	45363838505	😍😍👏👏👏👏	0	1617459333	0
2543721191206591345_6323132732	33463840197	@sartaevaaa zhaanyy😍❤️	0	1617459898	0
2543721191206591345_6323132732	2977360151	@sartaevaaa 😍	0	1617460013	0
2543721191206591345_6323132732	38043975560	Вау	0	1617460195	0
2543721191206591345_6323132732	1558268739	❤️❤️❤️	0	1617460877	0
2543721191206591345_6323132732	6607230661	😍😍😍🔥	0	1617462173	0
2543721191206591345_6323132732	4741295338	@sartaevaaa botam❤	0	1617462324	0
2543721191206591345_6323132732	36492207161	Как принять участие? Могу ли я быть онлайн?	0	1617464873	0
2543721191206591345_6323132732	1643879853	@sartaevaaa 😍😍😍🔥🔥🔥	0	1617465524	0
2543721191206591345_6323132732	36492207161	Что будет в этом конкурсе, если две стороны поспорят друг с другом в сети?	0	1617897357	0
2543721191206591345_6323132732	1537287326	Могут ли участвовать студенты 1-2 курса колледжа?	0	1618037799	0
2543721191206591345_6323132732	44703785831	До встречи на турнире «Союз дебатов Жамбылской области».	0	1618158107	0
2543561743557229542_6323132732	26256052069	❤️❤️❤️❤️	0	1617436591	2
2543561743557229542_6323132732	15199546617	жаныйым😍😍	0	1617437621	1
2543561743557229542_6323132732	44078077128	@eskzha 🔥🔥👏	0	1617439233	1
2543561743557229542_6323132732	36492207161	Вот каким должен быть проект	0	1617439318	0
2543561743557229542_6323132732	8004212870	@mangerinee ❤Любовь	2	1617439445	0
2543561743557229542_6323132732	8004212870	☺☺	2	1617439453	0
2543561743557229542_6323132732	8004212870	@ byva2 ❤luv	2	1617439467	0
2543561743557229542_6323132732	4547761628	@eskzha super 😁😍	0	1617440368	1
2543561743557229542_6323132732	8004212870	@atlantiummd спасибки🥰	2	1617441058	0
2543561743557229542_6323132732	10239119515	Что за видео?	0	1617441095	0
2543561743557229542_6323132732	1709314629	😍😍😍	0	1617446499	1
2543561743557229542_6323132732	5739480059	😍😍😍👏👏👏	0	1617447460	2
2543561743557229542_6323132732	4679161430	IY 20-2 захватывает университет 🔥	0	1617447984	2
2543561743557229542_6323132732	1564639452	@eskzha 🔥🔥👍	0	1617450100	1
2543561743557229542_6323132732	26002723967	Круто 😍👍 красиво 😘	0	1617456970	0
2543561743557229542_6323132732	2053882608	@ sultanovna.ak04 Подайте бизнес-проект в вышеуказанных областях и выиграйте грант! Удачи!	2	1617464582	0
2543561743557229542_6323132732	2053882608	@aigerim_pb Здравствуйте, отправьте бизнес-проект и сделайте видеопрезентацию этого проекта. Выиграйте грант! Удачи! 🙌 Более подробную информацию можно найти на сайте выше! ☺️	2	1617464757	0
2543561743557229542_6323132732	36492207161	@gulzhazira_kosmaganbet Будет ли бизнес-проект онлайн? Стоит ли защищать видео? И по какой теме защищать?	2	1617466398	0
2543561743557229542_6323132732	2053882608	@ sultanovna.ak04 вы сделаете видеопрезентацию своего проекта и отправите ее на нашу электронную почту, будет проведен внутренний отбор этих видеороликов, будут защищены финалисты, вы можете подавать проекты в 9 областях, перейдите по ссылке выше сайт для получения дополнительной информации! Удачи! Участвуй, будь победителем! 🌷	2	1617466717	0
2543561743557229542_6323132732	3596404632	@eskzha жанымкаа❤️❤️❤️	0	1617471519	0
2543561743557229542_6323132732	1711148048	Удачи 😻 ♥ ️ ♥ ️	0	1617475719	0
2543561743557229542_6323132732	30157785214	Удачи 😻👍🏻	0	1617475846	0
2543561743557229542_6323132732	2989184400	❤️😍😍🔥🙌👏	0	1617522397	0
2543561743557229542_6323132732	1031389524	👏👏👏👏👍😘	0	1617604690	0
2543561743557229542_6323132732	224666062	😍😍😍👏	0	1617616110	0
2543556366295063689_6323132732	2255427880	#ParabermeEducation	0	1617476464	0
2543113179857217595_6323132732	8004212870	Красивый Атлант	0	1617382936	2
2543113179857217595_6323132732	8004212870	такая возможность, вааууу😍👍🏻	0	1617382952	2
2543113179857217595_6323132732	1635428398	Хорошо, Атлантида! 👏	0	1617383394	1
2543113179857217595_6323132732	4547761628	@eskzha подумал, спасибо	2	1617383395	0
2543113179857217595_6323132732	2268051553	👏👏👏	0	1617383568	1
2543113179857217595_6323132732	30371452660	@atlantiummd 😍	0	1617383726	2
2543113179857217595_6323132732	366081492	👏👏👏	0	1617385424	1
2543113179857217595_6323132732	3577773504	🔥🔥🔥	0	1617386538	1
2543113179857217595_6323132732	2977360151	🔥🔥🔥	0	1617387070	1
2543113179857217595_6323132732	4357363649	👏👏👏	0	1617387423	1
2543113179857217595_6323132732	20437227758	😇😇🔥🔥	0	1617387482	1
2543113179857217595_6323132732	1564639452	@atlantiummd ваяяя😍	0	1617391329	0
2543113179857217595_6323132732	46478557669	Не идите на меньшее, чем ваш полный потенциал	0	1617393856	2
2543113179857217595_6323132732	6240722086	😂😂	2	1617394767	0
2543113179857217595_6323132732	26256052069	👏🔥	0	1617397839	1
2543113179857217595_6323132732	38899159495	Куда мы пойдем поучаствовать	0	1617417040	0
2543113179857217595_6323132732	3691093759	Авторизуйтесь и зарегистрируйтесь по ссылке @ uljan.30.05!	2	1617423537	0
2543113179857217595_6323132732	1940215079	🔥🔥🔥	0	1617430835	0
2543113179857217595_6323132732	1550103018	ATL спой песню TUTAMAS, и я исчезну, как тьма в свете ...	0	1617435099	0
2543113179857217595_6323132732	36492207161	Я зарегистрировался и навещал вас?	0	1617471422	0
2543113179857217595_6323132732	6594131058	😍😍😍😍	0	1617473091	0
2543113179857217595_6323132732	6323132732	+7 775 695 9441. +7 747 331 2133 По всем вопросам олимпиад звоните или пишите в WhatsApp по этим номерам	0	1617615731	0
2543113179857217595_6323132732	28187431758	Знания не в твоей голове	2	1618140063	0
2543066644107819090_6323132732	47073751991	👍	0	1617380612	0
2543066644107819090_6323132732	6823272750	@ahmetovich_____ 🔥 боп турснго	0	1617389885	0
2543066644107819090_6323132732	39265710356	@aksuat_kemaladdin ✊✊✊	2	1617390709	0
2541615408733007845_6323132732	6323132732	Вниманию выпускников школ и колледжей !!! ✅ Если вы хотите получить 100% бесплатное обучение в вузе ✅ И у вас есть отличная бизнес-идея, то Yessenov University приглашает вас принять участие в республиканском конкурсе стартап-проектов «Jas kasipker 2021». Цель конкурса - повышение предпринимательской активности молодежи региона, предоставление молодым людям возможности представить стартап-идеи и получение гранта на обучение. В конкурсе могут принять участие 11-классники и выпускники колледжей. В конкурсе могут принять участие стартап-проекты по следующим направлениям: - IT-технологии - Туризм и услуги - Сельское хозяйство - Наука и инновации - Здоровье, Медицина - Экология - Социальный проект - Образование - Творчество и искусство - 12 апреля, этап 21. на сайте https://startup.yu.edu.kz - Получение видео проекта - до 20 апреля на почту startup@yu.edu.kz - Выборочные проекты - 20-23 апреля 2021 г. - Финал - 28-29 апреля , 2021 г. Победители конкурса получат ОБРАЗОВАТЕЛЬНЫЕ ГРАНТЫ ЕССЕНОВСКОГО УНИВЕРСИТЕТА. Участие в конкурсе бесплатное! Контакт: +7701092 4414 Сайт: https://startup.yu.edu.kz	0	1617204241	0
2541615408733007845_6323132732	27901945162	Я не могу выйти в интернет	0	1617326824	0
2541615408733007845_6323132732	38899159495	Математика не допускается	0	1617337214	0
2541615408733007845_6323132732	7038605065	@ uljan.30.05 Здравствуйте, это конкурс стартап-проектов Jas kasipker-2021, вы также можете принять участие в предметной олимпиаде.	2	1617387431	0
2541615408733007845_6323132732	7038605065	@ 0ryn6asar0v Этап регистрации, этап отбора - онлайн.	2	1617387491	0
2541615408733007845_6323132732	38899159495	Когда проходит предметная олимпиада?	0	1617416864	0
2541615408733007845_6323132732	27901945162	@yu_startup так легко отправить из другого города по офлайн-цене	2	1617444939	0
